date,amount
2025-09-08,5015.65
2025-09-09,5829.85
2025-09-10,6205.45
2025-09-11,5354.05
2025-09-12,5345.57
2025-09-13,7319.83
2025-09-14,3468.01
2025-09-15,3875.97
2025-09-16,4270.24
2025-09-17,8080.74
2025-09-18,4546.25
2025-09-19,6079.75
2025-09-20,8485.48
2025-09-21,3091.15
2025-09-22,4752.23
2025-09-23,4700.7
2025-09-24,5071.07
2025-09-25,5232.05
2025-09-26,6060.49
2025-09-27,7425.81
2025-09-28,3671.41
2025-09-29,5393.75
2025-09-30,5971.41
2025-10-01,5540.36
2025-10-02,6458.9
2025-10-03,4795.89
2025-10-04,6325.74
2025-10-05,4083.75
2025-10-06,4667.95
2025-10-07,5403.91
2025-10-08,6933.99
2025-10-09,8737.36
2025-10-10,8260.72
2025-10-11,12327.0
2025-10-12,5713.37
2025-10-13,6109.84
2025-10-14,6036.74
2025-10-15,10025.22
2025-10-16,10861.82
2025-10-17,9339.69
2025-10-18,10958.9
2025-10-19,6764.54
2025-10-20,9217.47
2025-10-21,8668.37
2025-10-22,6312.36
2025-10-23,4728.35
2025-10-24,6512.94
2025-10-25,6157.7
2025-10-26,5242.18
2025-10-27,5783.95
2025-10-28,4367.01
2025-10-29,5042.97
2025-10-30,5365.23
2025-10-31,6446.26
2025-11-01,7615.15
2025-11-02,3597.42
2025-11-03,4051.26
2025-11-04,4233.11
2025-11-05,3802.11
2025-11-06,5024.08
2025-11-07,4672.49
2025-11-08,5501.8
2025-11-09,3709.69
2025-11-10,3659.6
2025-11-11,4599.65
2025-11-12,5210.37
2025-11-13,6275.87
2025-11-14,6970.32
2025-11-15,6374.95
2025-11-16,3815.54
2025-11-17,4229.33
2025-11-18,3858.9
2025-11-19,4900.37
2025-11-20,5090.12
2025-11-21,5171.47
2025-11-22,6528.63
2025-11-23,4603.54
2025-11-24,3681.8
2025-11-25,4926.04
2025-11-26,6541.37
2025-11-27,5408.55
2025-11-28,8493.69
2025-11-29,7494.01
2025-11-30,4136.59
2025-12-01,4175.13
2025-12-02,5193.78
2025-12-03,5813.43
2025-12-04,5158.01
2025-12-05,6073.53
2025-12-06,8256.51
2025-12-07,4887.37
2025-12-08,4239.38
2025-12-09,3796.83
2025-12-10,4647.01
2025-12-11,6095.66
2025-12-12,5397.45
2025-12-13,6044.73
2025-12-14,3593.21
2025-12-15,3428.25
2025-12-16,4989.54
2025-12-17,5559.97
2025-12-18,5817.38
2025-12-19,5526.28
2025-12-20,5827.07
2025-12-21,3186.55
2025-12-22,3851.28
2025-12-23,5083.3
2025-12-24,5995.05
2025-12-25,5409.37
2025-12-26,7041.22
2025-12-27,6949.19
2025-12-28,3187.95
2025-12-29,3234.68
2025-12-30,4369.85
2025-12-31,7369.53
2026-01-01,4784.79
2026-01-02,8921.69
2026-01-03,9703.45
2026-01-04,5198.06
2026-01-05,4031.03
2026-01-06,4995.69
2026-01-07,4630.27
2026-01-08,5932.12
2026-01-09,7248.81
2026-01-10,7958.15
2026-01-11,4926.54
2026-01-12,4668.25
2026-01-13,5939.2
2026-01-14,5381.32
2026-01-15,7011.8
2026-01-16,7072.01
2026-01-17,5894.65
2026-01-18,3928.84
2026-01-19,4220.46
2026-01-20,4705.06
2026-01-21,6696.49
2026-01-22,7432.87
2026-01-23,7232.99
2026-01-24,5645.09
2026-01-25,4156.12
2026-01-26,4228.61
2026-01-27,6147.93
2026-01-28,5817.73
2026-01-29,6258.39
2026-01-30,5927.51
2026-01-31,5469.52
2026-02-01,4007.27
2026-02-02,6728.53
2026-02-03,4464.64
2026-02-04,5285.2
2026-02-05,6104.7
2026-02-06,5624.29
2026-02-07,8255.81
2026-02-08,3852.52
2026-02-09,5993.47
2026-02-10,4376.17
2026-02-11,5804.29
2026-02-12,5366.56
2026-02-13,7216.03
2026-02-14,7033.07
2026-02-15,3493.92
2026-02-16,3760.13
2026-02-17,4695.16
2026-02-18,4360.12
2026-02-19,6732.82
2026-02-20,7275.81
2026-02-21,9026.58
2026-02-22,3764.32
2026-02-23,6675.61
2026-02-24,5262.29
2026-02-25,4906.31
2026-02-26,7711.92
2026-02-27,6040.41
2026-02-28,7620.8
2026-03-01,3593.06
2026-03-02,5299.37
2026-03-03,4967.76
2026-03-04,4850.4
2026-03-05,6296.42
2026-03-06,5894.48
2026-03-07,6871.65
2026-03-08,3708.37
2026-03-09,5853.26
2026-03-10,5110.15
2026-03-11,5872.46
2026-03-12,5721.25
2026-03-13,4891.13
2026-03-14,6793.94
2026-03-15,5426.63
2026-03-16,3589.34
2026-03-17,6563.38
2026-03-18,6047.8
2026-03-19,5024.77
2026-03-20,6111.5
2026-03-21,8417.87
2026-03-22,3615.45
2026-03-23,4529.94
2026-03-24,5099.87
2026-03-25,5047.75
2026-03-26,4300.43
2026-03-27,5455.47
2026-03-28,5344.67
2026-03-29,2883.39
2026-03-30,6583.29
2026-03-31,4559.67
2026-04-01,5192.58
2026-04-02,4481.79
2026-04-03,4838.64
2026-04-04,7359.4
2026-04-05,4164.3
2026-04-06,5370.15
2026-04-07,4744.93
2026-04-08,4178.42
2026-04-09,6202.9
2026-04-10,4682.67
2026-04-11,7113.35
2026-04-12,4583.12
2026-04-13,6091.67
2026-04-14,5493.98
2026-04-15,4860.52
2026-04-16,5008.24
2026-04-17,5974.04
2026-04-18,7632.5
2026-04-19,2727.09
2026-04-20,4894.08
2026-04-21,5453.15
2026-04-22,5945.24
2026-04-23,5552.15
2026-04-24,5782.57
2026-04-25,6680.17
2026-04-26,5716.41
2026-04-27,4893.78
2026-04-28,4097.61
2026-04-29,5534.76
2026-04-30,5655.37
2026-05-01,6726.28
2026-05-02,5425.78
2026-05-03,4281.75
2026-05-04,5205.84
2026-05-05,4916.42
2026-05-06,5751.25
2026-05-07,7029.22
2026-05-08,8425.45
2026-05-09,5898.26
2026-05-10,3468.99
2026-05-11,3781.56
2026-05-12,4591.83
2026-05-13,5507.08
2026-05-14,6679.33
2026-05-15,7043.55
2026-05-16,8406.74
2026-05-17,3870.54
2026-05-18,4708.32
2026-05-19,4389.42
2026-05-20,5948.35
2026-05-21,4739.65
2026-05-22,6035.84
2026-05-23,6178.51
2026-05-24,3983.84
2026-05-25,5425.39
2026-05-26,4995.75
2026-05-27,5037.62
2026-05-28,6444.84
2026-05-29,6981.95
2026-05-30,7109.43
2026-05-31,5041.76
2026-06-01,4967.04
2026-06-02,4173.15
2026-06-03,6217.65
2026-06-04,7728.37
2026-06-05,6097.78
2026-06-06,7743.13
2026-06-07,4558.55
2026-06-08,4757.69
2026-06-09,3944.87
2026-06-10,5083.84
2026-06-11,5750.59
2026-06-12,5847.95
2026-06-13,7054.42
2026-06-14,4762.62
2026-06-15,5509.95
2026-06-16,4724.29
2026-06-17,5753.5
2026-06-18,6461.94
2026-06-19,5082.36
2026-06-20,8343.34
2026-06-21,4542.49
2026-06-22,4728.8
2026-06-23,4223.43
2026-06-24,4574.13
2026-06-25,5056.8
2026-06-26,5197.67
2026-06-27,6361.45
2026-06-28,3875.37
2026-06-29,4200.43
2026-06-30,6502.68
2026-07-01,5670.34
2026-07-02,5092.38
2026-07-03,5614.6
2026-07-04,7205.52
2026-07-05,4830.02
2026-07-06,4576.88
2026-07-07,3968.07
2026-07-08,6725.56
2026-07-09,5445.69
2026-07-10,6345.57
2026-07-11,10351.82
2026-07-12,4469.91
2026-07-13,4922.1
2026-07-14,4574.29
2026-07-15,5513.9
2026-07-16,6605.12
2026-07-17,6108.92
2026-07-18,5150.09
2026-07-19,2657.06
2026-07-20,4548.96
2026-07-21,5843.76
2026-07-22,5061.6
2026-07-23,6498.42
2026-07-24,8063.78
2026-07-25,6090.37
2026-07-26,4483.44
2026-07-27,5082.23
2026-07-28,5063.0
2026-07-29,4380.71
2026-07-30,5823.35
2026-07-31,6572.28
2026-08-01,7784.84
2026-08-02,4118.7
2026-08-03,5548.67
2026-08-04,5726.94
2026-08-05,6292.96
2026-08-06,6834.27
2026-08-07,7275.9
2026-08-08,7841.46
2026-08-09,3963.75
2026-08-10,4827.87
2026-08-11,5377.09
2026-08-12,6282.93
2026-08-13,4732.7
2026-08-14,6998.79
2026-08-15,10795.69
2026-08-16,3199.3
2026-08-17,3193.21
2026-08-18,4690.38
2026-08-19,5659.55
2026-08-20,5770.14
2026-08-21,5706.72
2026-08-22,7827.45
2026-08-23,4024.67
2026-08-24,6989.21
2026-08-25,5094.49
2026-08-26,6444.32
2026-08-27,6460.61
2026-08-28,5992.95
2026-08-29,8799.87
2026-08-30,4413.02
2026-08-31,4239.85
2026-09-01,5685.96
2026-09-02,5363.31
2026-09-03,6427.64
2026-09-04,6805.37
2026-09-05,7859.81
2026-09-06,4746.0
2026-09-07,3990.37
2026-09-08,5271.78
2026-09-09,6254.3
2026-09-10,5451.57
2026-09-11,7553.14
2026-09-12,8891.61
2026-09-13,3617.64
2026-09-14,3184.34
2026-09-15,4498.7
2026-09-16,5245.98
2026-09-17,6053.0
2026-09-18,7355.32
2026-09-19,9951.41
2026-09-20,3988.74
2026-09-21,4875.32
2026-09-22,5302.98
