date,description,debit,credit
2026-08-24,UPI/DR/811623/KUMAR INDUSTRIES,8544.4,0.0
2026-08-24,NEFT/DR/530440/AGARWAL TRADING,8544.4,0.0
2026-08-24,UPI/CR/285342/PHONEPE,0.0,4895.5
2026-08-25,UPI/CR/821496/PHONEPE,0.0,5520.68
2026-08-26,UPI/CR/162571/PHONEPE,0.0,4027.84
2026-08-27,UPI/CR/528319/PHONEPE,0.0,3576.6
2026-08-27,CASH DEPOSIT/CDM/7919,0.0,15674.38
2026-08-28,UPI/CR/286086/PHONEPE,0.0,5189.89
2026-08-29,UPI/CR/737794/PHONEPE,0.0,4816.92
2026-08-30,UPI/CR/321518/PHONEPE,0.0,3974.28
2026-08-31,IMPS/DR/119447/KUMAR INDUSTRIES,8013.39,0.0
2026-08-31,CASH DEPOSIT/CDM/1910,0.0,11009.98
2026-08-31,UPI/CR/861804/PHONEPE,0.0,3163.23
2026-08-31,UPI/DR/983551/JAIN BROTHERS,8013.39,0.0
2026-08-31,NEFT/DR/550505/AGARWAL TRADING,8013.39,0.0
2026-09-01,UPI/CR/440551/PHONEPE,0.0,4149.63
2026-09-01,NEFT/DR/932204/RENT,12000.0,0.0
2026-09-02,UPI/CR/320551/PHONEPE,0.0,3599.69
2026-09-03,UPI/CR/238558/PHONEPE,0.0,4260.64
2026-09-04,UPI/CR/496921/PHONEPE,0.0,5290.38
2026-09-04,CASH DEPOSIT/CDM/1272,0.0,12911.92
2026-09-05,UPI/CR/246294/PHONEPE,0.0,3833.1
2026-09-05,NEFT/DR/693839/SALARY,8000.0,0.0
2026-09-06,UPI/CR/413325/PHONEPE,0.0,2446.87
2026-09-07,NEFT/DR/573965/AGARWAL TRADING,6779.96,0.0
2026-09-07,NEFT/DR/200568/JAIN BROTHERS,6779.96,0.0
2026-09-07,UPI/CR/633879/PHONEPE,0.0,3671.29
2026-09-07,RTGS/DR/527253/KUMAR INDUSTRIES,6779.96,0.0
2026-09-08,UPI/CR/392904/PHONEPE,0.0,3965.3
2026-09-08,CASH DEPOSIT/CDM/5990,0.0,15401.2
2026-09-09,UPI/CR/980742/PHONEPE,0.0,3952.05
2026-09-10,NEFT/DR/925052/ELECTRICITY,2500.0,0.0
2026-09-10,UPI/CR/371782/PHONEPE,0.0,3696.24
2026-09-11,UPI/CR/373535/PHONEPE,0.0,7973.46
2026-09-12,UPI/CR/448898/PHONEPE,0.0,4713.23
2026-09-12,CASH DEPOSIT/CDM/2507,0.0,12651.82
2026-09-13,ATM/CASH WDL/52830,8000.0,0.0
2026-09-13,UPI/CR/792679/PHONEPE,0.0,2582.45
2026-09-14,NEFT/DR/342677/JAIN BROTHERS,7961.88,0.0
2026-09-14,UPI/CR/522677/PHONEPE,0.0,4374.33
2026-09-14,UPI/DR/266431/AGARWAL TRADING,7961.88,0.0
2026-09-14,UPI/DR/994812/KUMAR INDUSTRIES,7961.88,0.0
2026-09-15,UPI/CR/224590/PHONEPE,0.0,3992.61
2026-09-16,UPI/CR/570527/PHONEPE,0.0,4028.39
2026-09-17,CASH DEPOSIT/CDM/4374,0.0,11000.56
2026-09-17,UPI/CR/285436/PHONEPE,0.0,4144.67
2026-09-18,UPI/CR/893326/PHONEPE,0.0,4104.12
2026-09-19,UPI/CR/840750/PHONEPE,0.0,5705.75
2026-09-20,UPI/CR/458284/PHONEPE,0.0,3786.7
2026-09-21,CASH DEPOSIT/CDM/8565,0.0,14125.23
2026-09-21,RTGS/DR/282961/KUMAR INDUSTRIES,7642.53,0.0
2026-09-21,NEFT/DR/787037/AGARWAL TRADING,7642.53,0.0
2026-09-21,IMPS/DR/673852/JAIN BROTHERS,7642.53,0.0
2026-09-21,UPI/CR/887235/PHONEPE,0.0,3308.81
2026-09-22,UPI/CR/428521/PHONEPE,0.0,5060.31
